2014
ESTETISK, 8357
HELSEFAG, 46205
HISTORIE, 12478
IDRETT, 12030
INFOTEKN, 8182
JUS, 15835
LANDOGHAVBRUK, 1788
LAERER, 24287
MEDIEFAG, 11845
PEDFAG, 7642
REALFAG, 11432
REISELIV, 3263
SAMFUNN, 38348
SPRAAK, 15564
TEKNO, 22408
OOKAD, 32527
